Dataset,RF_Variation,Accuracy_Mean,Accuracy_Std,CV_Splits
Synthetic_Classification,RF_default,0.9100000000000001,0.020493901531919215,5
Synthetic_Classification,RF_simple,0.733,0.025612496949731417,5
Iris,RF_default,0.9533333333333335,0.03399346342395189,5
Iris,RF_simple,0.96,0.038873012632301994,5
Wine,RF_default,0.9323809523809523,0.029214112149823147,5
Wine,RF_simple,0.943968253968254,0.024675265605019477,5
BreastCancer,RF_default,0.9420276354603322,0.026333319708790815,5
BreastCancer,RF_simple,0.9507995652848935,0.019672788438047952,5
Madelon,RF_default,0.7746153846153845,0.02312175133106021,5
Madelon,RF_simple,0.5034615384615384,0.01399492722973866,5
Arcene,RF_default,0.77,0.043011626335213146,5
Arcene,RF_simple,0.7150000000000001,0.025495097567963913,5
