Dataset,RF_Variation,Accuracy_Mean,Accuracy_Std,CV_Splits
Synthetic_Classification,RF_default,0.9029999999999999,0.02400000000000002,5
Synthetic_Classification,RF_simple,0.766,0.018814887722226795,5
Iris,RF_default,0.96,0.024944382578492935,5
Iris,RF_simple,0.9466666666666667,0.05416025603090639,5
Wine,RF_default,0.9495238095238093,0.032894312232875055,5
Wine,RF_simple,0.954920634920635,0.02889760901009595,5
BreastCancer,RF_default,0.9543238627542306,0.008519207450907784,5
BreastCancer,RF_simple,0.9402887750349326,0.017806270980486594,5
Madelon,RF_default,0.7699999999999999,0.017650452162436544,5
Madelon,RF_simple,0.5203846153846154,0.02287087499587462,5
